OFFICIAL_GENE_NAME	OFFICIAL_TF_CODING_GENE_NAME	REGULATION	REF	SPECIES	REF ACCESSION #
C7ORF68	CTNNB1	UP	Pubmed	hUman, Homo sapiens; Mus musculus	;15642117
CA3	AR	UP	Pubmed	rat, Rattus norvegicus	6411140;11817565;
CACNA1S	CREB1	UP	trrd;	mouse, Mus musculus;	S10594;
CACNA1S	GATA2	UP	pazar	mouse, Mus musculus;	Pazar_ares;
CAD	MYC	UP	Pubmed	human, Homo sapiens;	;14519204;11983916;14519204
CALR	AR	UP	Pubmed	rat, Rattus norvegicus	11817565;
CALR	ATF6	UP	Pubmed	;homo sapiens	19659458;
CALR	YY1	UP	Pubmed	;homo sapiens	;19659458
CAMK1	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
CAMK1D	GLI1	UP	Pubmed	mus musculus;	;19095649
CAPN2	CTNNB1	UP	Pubmed	mouse, Mus musculus;	;12907606
CAPN2	TCF7L2	UP	Pubmed	mouse, Mus musculus;	;12907606
CAR2	FOXO1	UP	Pubmed	mouse, Mus musculus;	;16492665;
CARS	CREB1	UP	Pubmed	mouse, Mus musculus;	;14973073
CASP1	TP53	UP	Pubmed	human, Homo sapiens;	;11278253
CASP14	FOXO1	UP	Pubmed	mouse, Mus musculus;	;15632117;
CASP2	FOXO1	UP	Pubmed	mouse, Mus musculus;	;15632117;
CASP3	CTNNB1	DOWN	Pubmed	mouse, Mus musculus;	;12907606
CASP3	ETS1	UP	trrd;	rat, Rattus norvegicus	S10668;
CASP3	FOXO1	UP	Pubmed	mouse, Mus musculus;	;15565601;
CASP3	NOTCH1	UP	Pubmed	mouse, Mus musculus;	;15068794
CASP3	RBPJ	UP	Pubmed	mouse, Mus musculus;	;15068794
CASP3	TCF7L2	DOWN	Pubmed	mouse, Mus musculus;	;12907606
CASP4	CTNNB1	DOWN	Pubmed	hUman, Homo sapiens;	;15979100
CASP4	LEF1	DOWN	Pubmed	hUman, Homo sapiens;	;15979100
CASP6	FOXO1	UP	Pubmed	mouse, Mus musculus;	;15632117;
CASP7	CTNNB1	DOWN	Pubmed	mouse, Mus musculus;	;12907606
CASP7	TCF7L2	DOWN	Pubmed	mouse, Mus musculus;	;12907606
CASP7	TP53	UP	Pubmed	;homo sapiens	;16918502
CASP8	ETS1	UP	trrd;	human, Homo sapiens	S10671;
CASP8	FOXO1	UP	Pubmed	mouse, Mus musculus;	;15632117;15565601;
CASP8	SP1	UP	trrd;	hUman, Homo sapiens;	S10670;
CAT	EGR1	UP	Pubmed	human, Homo sapiens;	;11479230
CAT	SP1	UP	trrd;	human, Homo sapiens;	S8153;
CAV1	TP53	UP	Pubmed	human, Homo sapiens;	;10684646
CBLB	FOXO3	UP	Pubmed	human, Homo sapiens	;12351634;
CBX3	MYC	UP	Pubmed	human, Homo sapiens;	;12747840
CBX5	E2F6	DOWN	Pubmed	;homo sapiens	;12909625
CCK	JUN	UP	trrd;	rat, Rattus norvegicus	S10613;
CCK	NFKB1	UP	trrd	rat, Rattus norvegicus	S10610;
CCL17	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
CCL2	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;16003740
CCL2	JUN	UP	NFIRegulomeDB;	human, Homo sapiens;	;
CCL2	NFKB1	UP	NfiRegulomeDB	human, Homo sapiens;	;
CCL2	STAT1	UP	Pubmed	human, Homo sapiens;	;9558097,12488502
CCL2	STAT3	UP	Pubmed	Human, Homo sapiens;	;12488502
CCL2	TCF7L2	UP	Pubmed	hUman, Homo sapiens;	;16003740
CCL4	JUN	UP	trrd;	human, Homo sapiens;	S1292;
CCL5	JUN	UP	trrd;	human, Homo sapiens;	S9511;
CCL5	NFKB1	UP	Pubmed	human, Homo sapiens	;17065335
CCL5	STAT1	UP	Pubmed	hUman, Homo sapiens;	;11821046;
CCL7	CTNNB1	DOWN	Pubmed	mouse, Mus musculus;	;11118053
CCL7	LEF1	DOWN	Pubmed	mouse, Mus musculus;	;11118053
CCNA1	TP53	DOWN	pazar	human, Homo sapiens;	pazar_pleiades;
CCNA2	E2F1	UP	Pubmed	;homo sapiens	;10594784; 14681231
CCNA2	MYC	UP	Pubmed	human, Homo sapiens	;14519204;
CCNB1	FOXO1	DOWN	Pubmed	human, Homo sapiens	;17609436;
CCNB1	MYC	UP	Pubmed	mouse, Mus musculus; homo sapiens	;12747840;11983916
CCNB2	FOXO1	DOWN	Pubmed	human, Homo sapiens	;17609436;
CCNB2	HMGA1	UP	Pubmed	;mus musculus	;19223528
CCNB2	HMGA2	UP	Pubmed	;mus musculus	;19223528
CCND1	CTNNB1	UP	Pubmed	hUman, Homo sapiens; rattus norvegicus; mouse	;15592430;12782598;11943708;12095419;10201372;14557550;10915780;17693601;15111320
CCND1	E2F1	UP	Pubmed	;homo sapiens	;7929342; 10594784
CCND1	E2F4	UP	Pubmed	;homo sapiens	;7929342; 10594784
CCND1	ETS1	UP	Pubmed	human, Homo sapiens	;19499154
CCND1	FOXO1	DOWN	Pubmed	human, Homo sapiens; mus musculus	;12391153;
CCND1	FOXO3	DOWN	Pubmed	human, Homo sapiens; mus musculus	;12391153;
CCND1	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
CCND1	HBP1	DOWN	Pubmed	human, Homo sapiens	;16179914;11500377;
CCND1	JUN	UP	Pubmed	;homo sapiens	;17637753
CCND1	MYC	DOWN	Pubmed	rat, Rattus norvegicus	;11085504
CCND1	NFKB1	UP	Pubmed	human, Homo sapiens; mus musculus	;10464245;
CCND1	RELA	UP	Pubmed	human, Homo sapiens; mus musculus	;10464245;
CCND1	STAT3	UP	Pubmed	hUman, Homo sapiens;	;18988190;
CCND1	STAT5A	UP	Pubmed	mouse, Mus musculus;	;14645506;
CCND1	STAT5B	UP	Pubmed	mouse, Mus musculus;	;14645506;
CCND2	FOXO1	DOWN	Pubmed	human, Homo sapiens; mus musculus	;12391153;
CCND2	FOXO3	DOWN	Pubmed	human, Homo sapiens; mus musculus	;12391153;
CCND2	GLI1	UP	Pubmed	human, Homo sapiens	;11719506
CCND2	MYC	UP	Pubmed	human, Homo sapiens;	;14519204;14519204
CCND2	STAT5A	UP	Pubmed	mouse, Mus musculus;	;11160217;
CCND2	STAT5B	UP	Pubmed	mouse, Mus musculus;	;11160217;
CCND3	CTNNB1	UP	Pubmed	rAt, Rattus norvegicus	;14557550
CCND3	E2F1	UP	Pubmed	;homo sapiens	;12611887
CCND3	E2F2	UP	Pubmed	;homo sapiens	;12611887
CCND3	E2F3	UP	Pubmed	;homo sapiens	;12611887
CCND3	HBP1	DOWN	Pubmed	human, Homo sapiens	;16179914;
CCNE1	E2F1	UP	Pubmed	;homo sapiens	;17471231; 1059478; 19564413
CCNE1	HBP1	DOWN	Pubmed	human, Homo sapiens	;16179914;
CCNE1	MYC	UP	Pubmed	human, Homo sapiens	;14519204;11983916;14519204;
CCNE1	PROX1	UP	Pubmed	;mus musculus	;21040746
CCNG1	TP53	UP	pazar	hUman, Homo sapiens;	pazar_ABS;pazar_pleiades;
CCNG2	FOXO1	UP	Pubmed	human, Homo sapiens; mus musculus	;14966295;16493026;12351634;
CCNG2	FOXO3	UP	Pubmed	human, Homo sapiens; mus musculus	;14966295;16493026;1235163414966295;
CCNG2	FOXO4	UP	Pubmed	mouse, Mus musculus;	;014966295;
CCNG2	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
CCPG1	GLI1	DOWN	Pubmed	human, Homo sapiens; rattus norvegicus	;18924150
CCRN4L	FOXO1	UP	Pubmed	mouse, Mus musculus;	;17254969
CCT3	MYC	UP	Pubmed	human, Homo sapiens	;11983916;
CCT5	MYC	UP	Pubmed	human, Homo sapiens;	;12747840
CCT6A	MYC	UP	Pubmed	rat, Rattus norvegicus	;11085504
CD14	CTNNB1	UP	Pubmed	hUman, Homo sapiens; Mus musculus	;15642117
CD14	SP1	UP	trrd;	human, Homo sapiens;	S6445;
CD19	EGR1	UP	trrd;	human, Homo sapiens;	S10337;
CD36	NR1H2	UP	Pubmed	human, Homo sapiens	;19258656
CD36	NR1H3	UP	Pubmed	human, Homo sapiens	;19258656
CD3D	ELF1	UP	Pubmed	human, Homo sapiens; mus musculus	;12324448
CD3D	ELF2	UP	Pubmed	human, Homo sapiens; mus musculus	;12324448
CD3D	ETS1	UP	Pubmed	human, Homo sapiens; mus musculus	;12324448
CD3D	YY1	DOWN	Pubmed	human, Homo sapiens; mus musculus	;12324448
CD4	CREB1	UP	trrd;	human, Homo sapiens;	S7640;
CD4	CTNNB1	UP	Pubmed	mouse, Mus musculus;	;16585583
CD4	ELF1	UP	trrd;	mus musculus;	S7658;
CD4	ETS1	UP	trrd;	mus musculus;	S7658;
CD4	ETS2	UP	trrd;	mus musculus;	S7658;
CD4	TCF7	UP	Pubmed	mouse, Mus musculus;	;16585583
CD40	FOXO1	UP	Pubmed	mouse, Mus musculus;	;15632117;20338229;
CD40	SPI1	UP	trrd;	human, Homo sapiens	S9961;
CD40	SPIB	UP	trrd;	human, Homo sapiens	S9961;
CD40	STAT1	UP	trrd;	mouse, Mus musculus;	S9963;
CD40LG	JUN	UP	trrd;	mouse, Mus musculus;	S4129;
CD44	CTNNB1	UP	Pubmed	hUman, Homo sapiens; Mus musculus	;12782598;10027409;18483247
CD44	EGR1	UP	Pubmed	human, Homo sapiens;	;8628295
CD44	TCF7L2	UP	Pubmed	hUman, Homo sapiens; Mus musculus	;12782598;10027409;18483247
CD55	FOXO3	UP	Pubmed	human, Homo sapiens	;12351634;
CD70	FOXO1	UP	Pubmed	mouse, Mus musculus;	;15632117;
CD79A	GABPA	UP	pazar;	mouse, Mus musculus;	Pazar_rare;
CD82	JUN	UP	trrd;	human, Homo sapiens;	S10107;
CD83	NFKB1	UP	Pubmed	human, Homo sapiens	;12182451;
CD84	STAT5A	UP	Pubmed	mouse, Mus musculus;	;16293640
CD84	STAT5B	UP	Pubmed	mouse, Mus musculus;	;16293640
CD8A	NOTCH1	DOWN	Pubmed	mouse, Mus musculus;	;9881968
CD8A	RBPJ	DOWN	Pubmed	mouse, Mus musculus;	;9881968
CDAN1	E2F1	UP	Pubmed	;homo sapiens	;19336738
CDC14A	GLI1	UP	Pubmed	mus musculus;	;19095649
CDC25A	CDKN1A	DOWN	Pubmed	;homo sapiens	16923815;
CDC25A	E2F1	UP	Pubmed	human, Homo sapiens;	;11799067;
CDC25A	E2F4	UP	Pubmed	human, Homo sapiens;	;11799067;
CDC25A	ESR1	UP	Pubmed	;homo sapiens	;16598773
CDC25A	NFYA	UP	Pubmed	;homo sapiens	;16598773
CDC25A	SP1	UP	Pubmed	;homo sapiens	;16598773
CDC25B	SP1	UP	pazar;TRRD;	mouse, Mus musculus;	Pazar_Hnf4; S924;;
CDC25B	SP3	UP	trrd	mus musculus;	S9247;
CDC25C	MYC	UP	Pubmed	human, Homo sapiens;	;12747840
CDC25C	SP1	UP	trrd;	human, Homo sapiens;	S9236;
CDC25C	SP3	UP	trrd	hUman, Homo sapiens;	S9236;
CDC45	E2F1	UP	Pubmed	human, Homo sapiens	10692433;
CDC45	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
CDC6	AR	UP	Pubmed	human, Homo sapiens;	18541154;
CDC6	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;16132617
CDC6	E2F1	UP	Pubmed	human, Homo sapiens;	11799067;
CDC6	E2F2	UP	Pubmed	;homo sapiens	;12411495
CDC6	E2F3	UP	Pubmed	;homo sapiens	;12411495
CDC6	E2F4	UP	Pubmed	human, Homo sapiens;	11799067;
CDC6	YY1	UP	Pubmed	;homo sapiens	;12411495
CDC7	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
CDCA4	E2F1	UP	Pubmed	;homo sapiens	;16984923
CDCA4	E2F2	UP	Pubmed	;homo sapiens	;16984923
CDCA4	E2F3	UP	Pubmed	;homo sapiens	;16984923
CDCA4	E2F4	UP	Pubmed	;homo sapiens	;16984923
CDCA7	E2F1	UP	Pubmed	;homo sapiens; mus musculus	;16580749
CDCA7	E2F2	UP	Pubmed	;homo sapiens; mus musculus	;16580749
CDCA7	E2F3	UP	Pubmed	;homo sapiens; mus musculus	;16580749
CDCA7	E2F4	UP	Pubmed	;homo sapiens; mus musculus	;16580749
CDH2	AR	UP	Pubmed	human, Homo sapiens;	17297473;
CDH2	NOTCH1	UP	Pubmed	human, Homo sapiens; mus musculus	;16618740
CDH2	RBPJ	UP	Pubmed	human, Homo sapiens; mus musculus	;16618740
CDH3	CTNNB1	UP	Pubmed	mouse, Mus musculus;	;17292359
CDK1	E2F1	UP	Pubmed	human, Homo sapiens	11799067;
CDK1	E2F4	UP	Pubmed	human, Homo sapiens	11799067;
CDK1	FOXO1	DOWN	Pubmed	human, Homo sapiens	;17609436;
CDK1	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
CDK1	MYC	UP	Pubmed	rat, Rattus norvegicus	;11085504
CDK1	SMAD7	DOWN	Pubmed	;homo sapiens	;15023526
CDK1	SP1	UP	trrd;	human, Homo sapiens;	S3438;
CDK11A	CREB1	UP	Pubmed	;homo sapiens	;15087126
CDK11A	ETS1	UP	Pubmed	human, Homo sapiens	;15087126
CDK11B	ETS1	UP	Pubmed	human, Homo sapiens	;15656972
CDK11B	MYC	UP	Pubmed	human, Homo sapiens	;11983916;
CDK11B	POU2F3	UP	Pubmed	;homo sapiens	;15656972
CDK2	MITF	UP	Pubmed	human, Homo sapiens	;1999537;19067971
CDK2	SP1	UP	trrd;	hUman, Homo sapiens;	S8019;
CDK4	MYC	UP	Pubmed	human, Homo sapiens;	;11983916;14519204;14519204
CDK6	SMAD6	DOWN	Pubmed	mouse, Mus musculus;	;15254224;
CDKN1A	CEBPA	UP	Pubmed	human, Homo sapiens;homo sapiens	8846917;
CDKN1A	CTNNB1	DOWN	Pubmed	hUman, Homo sapiens;	;14637149
CDKN1A	E2F1	UP	Pubmed	human, Homo sapiens	;10030670;
CDKN1A	E2F3	UP	Pubmed	human, Homo sapiens	;10030670;
CDKN1A	FOXO1	UP	Pubmed	human, Homo sapiens	;17609436;
CDKN1A	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
CDKN1A	ID1	UP	Pubmed	human, Homo sapiens	;17639499
CDKN1A	ID2	UP	Pubmed	human, Homo sapiens	;17639499
CDKN1A	ID3	UP	Pubmed	human, Homo sapiens	;17639499
CDKN1A	MITF	DOWN	Pubmed	human, Homo sapiens	;1999537;19067971
CDKN1A	MYC	DOWN	Pubmed	human, Homo sapiens	;14519204
CDKN1A	NOTCH1	UP	Pubmed	human, Homo sapiens;	;11306509;14670925
CDKN1A	NOTCH2	UP	Pubmed	human, Homo sapiens;	;11306509;14670925
CDKN1A	RBPJ	UP	Pubmed	human, Homo sapiens;	;11306509;14670925
CDKN1A	SMAD1	UP	Pubmed	human, Homo sapiens;	;11786386;
CDKN1A	SMAD4	UP	Pubmed	human, Homo sapiens;	;11786386;
CDKN1A	SP1	UP	Pubmed	hUman, Homo sapiens;	;10030670
CDKN1A	SREBF1	UP	Pubmed	mouse, Mus musculus;	;16199872
CDKN1A	STAT1	UP	Pubmed	;homo sapiens	;10866323
CDKN1A	TP53	UP	pazar	hUman, Homo sapiens;	pazar_ABS;pazar_pleiades;
CDKN1B	CTNNB1	DOWN	Pubmed	rAt, Rattus norvegicus	;14557550
CDKN1B	E2F1	UP	Pubmed	;mus musculus	;15713665
CDKN1B	E2F4	UP	Pubmed	;mus musculus	;15713665
CDKN1B	FOXO1	UP	Pubmed	human, Homo sapiens; mus musculus	;12391153;12359217;17015685;11094066;
CDKN1B	NOTCH2	UP	Pubmed	human, Homo sapiens;	;11306509
CDKN1B	RBPJ	UP	Pubmed	human, Homo sapiens;	;11306509
CDKN1B	SP1	UP	trrd;	hUman, Homo sapiens;	S5531;
CDKN1C	CTNNB1	DOWN	Pubmed	rAt, Rattus norvegicus	;14557550
CDKN1C	E2F1	UP	Pubmed	;homo sapiens	;17173074
CDKN1C	FOXO1	UP	Pubmed	human, Homo sapiens	;17609436;
CDKN2A	E2F1	UP	Pubmed	;?; homo sapiens	;11062467; 16211008; 19641316
CDKN2A	E2F2	UP	Pubmed	;homo sapiens	;11883935
CDKN2A	E2F3	UP	Pubmed	;homo sapiens; mus musculus	;11883935;  15175242
CDKN2A	HBP1	UP	Pubmed	human, Homo sapiens; mus musculus	;20581871;
CDKN2A	ID1	UP	Pubmed	human, Homo sapiens	;17639499
CDKN2A	ID2	UP	Pubmed	human, Homo sapiens	;17639499
CDKN2A	ID3	UP	Pubmed	human, Homo sapiens	;17639499
CDKN2A	MITF	DOWN	Pubmed	human, Homo sapiens	;1999537;19067971
CDKN2A	MYC	UP	Pubmed	human, Homo sapiens	;11062467
CDKN2A	TBX2	DOWN	Pubmed	human, Homo sapiens;	;11062467
CDKN2B-AS1	E2F1	UP	Pubmed	;mus musculus?	;20664976
CDKN2B	FOXO1	UP	Pubmed	human, Homo sapiens; mus musculus	;17873901;
CDKN2B	FOXO3	UP	Pubmed	human, Homo sapiens; mus musculus	;17873901;
CDKN2B	MYC	DOWN	Pubmed	human, Homo sapiens;	;14519204
CDKN2C	E2F1	UP	Pubmed	;homo sapiens	;12077144
CDKN2C	E2F4	UP	Pubmed	;homo sapiens	;12077144
CDKN2C	SP1	UP	Pubmed	;homo sapiens	;12077144
CDKN2D	FOXO1	UP	Pubmed	human, Homo sapiens; mus musculus	;17873901;
CDKN2D	FOXO3	UP	Pubmed	human, Homo sapiens; mus musculus	;17873901;
CDKN2D	STAT3	UP	Pubmed	mouse, Mus musculus;	;10779764;
CDT1	E2F1	UP	Pubmed	;homo sapiens	;14990995
CDT1	E2F2	UP	Pubmed	;homo sapiens	;14990995
CDT1	E2F3	UP	Pubmed	;homo sapiens	;14990995
CDT1	E2F4	UP	Pubmed	;homo sapiens	;14990995
CDX1	CTNNB1	UP	Pubmed	rAt, Rattus norvegicus; mus musculus; human	;11997022;12446687;10934025
CDX1	LEF1	UP	Pubmed	rAt, Rattus norvegicus; mus musculus; human	;11997022;12446687;10934025
CDX1	TCF7L2	UP	Pubmed	rAt, Rattus norvegicus; mus musculus; human	;11997022;12446687;10934025
CDX4	CTNNB1	UP	Pubmed	mouse, Mus musculus;	;16309666
CDX4	LEF1	UP	Pubmed	mouse, Mus musculus;	;16309666
CEACAM1	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;12782598
CEACAM5	CTNNB1	UP	Pubmed	human, Homo sapiens;	;15890249
CEACAM5	TCF7	UP	Pubmed	human, Homo sapiens;	;15890249
CEACAM6	CTNNB1	UP	Pubmed	human, Homo sapiens;	;15890249
CEACAM6	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
CEACAM6	TCF7	UP	Pubmed	human, Homo sapiens;	;15890249
CEACAM7	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
CEBPA	CEBPA	UP	Pubmed	;mus musculus	19380823;
CEBPA	CEBPB	UP	Pubmed	;mus musculus	19663997;
CEBPA	CTNNB1	DOWN	Pubmed	mouse, Mus musculus;	;10937998
CEBPA	EBF1	UP	Pubmed	;mus musculus	;17060461
CEBPA	HBP1	UP	Pubmed	human, Homo sapiens	;16179914;
CEBPA	HDAC1	DOWN	Pubmed	;mus musculus	;16431920
CEBPA	MYC	UP	pazar	human, Homo sapiens;	Pazar_Hnf4;
CEBPA	NFKB1	UP	Pubmed	mouse, Mus musculus;	;21346255
CEBPA	PPARG	UP	Pubmed	;mus musculus	;16431920
CEBPA	RBPJ	DOWN	Pubmed	mouse, Mus musculus;	;15226394
CEBPA	TCF7	DOWN	Pubmed	mouse, Mus musculus;	;10937998
CEBPB	STAT3	UP	Pubmed	mouse, Mus musculus;	;16293640
CEBPD	JUN	UP	Pubmed	;mus musculus	;20506344
CEBPD	SP1	UP	Pubmed	;mus musculus	;20506344
CEBPD	STAT3	UP	Pubmed	mouse, Mus musculus;	;16293640
CETP	SP1	UP	trrd;	human, Homo sapiens;	S4001;
CETP	SREBF1	UP	Pubmed	;homo sapiens	;10393213
CETP	SREBF2	UP	Pubmed	;homo sapiens	;10393213
CETP	YY1	UP	Pubmed	;homo sapiens	;10393213
CFB	STAT2	UP	Pubmed	hUman, Homo sapiens;	;16689942
CFLAR	AR	UP	Pubmed	mouse, Mus musculus;	16720717;
CFLAR	CEBPA	UP	Pubmed	;mus musculus	18987666;
CFLAR	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;15632117;
CFLAR	GLI2	UP	Pubmed	human, Homo sapiens	;18264131
CGA	CREB1	UP	trrd;	mouse, Mus musculus;	S6375;
CGA	ETS1	UP	trrd;	rat, Rattus norvegicus	S4800;
CGA	SP1	UP	trrd;	mouse, Mus musculus;	S7520;
CGB	JUN	DOWN	trrd;	human, Homo sapiens;	S4337;
CHEK1	E2F1	UP	Pubmed	;mus musculus	;18660752
CHEK1	TP53	DOWN	Pubmed	human, Homo sapiens;	;11152453
CHGA	EGR1	UP	Pubmed	human, Homo sapiens	;12456801
CHGA	JUN	UP	trrd;	human, Homo sapiens;	S9958;
CHI3L1	STAT3	UP	Pubmed	mouse, Mus musculus;	;16293640
CHORDC1	STAT5A	UP	Pubmed	mouse, Mus musculus;	;16293640
CHORDC1	STAT5B	UP	Pubmed	mouse, Mus musculus;	;16293640
CHRM1	AR	DOWN	Pubmed	human, Homo sapiens;	17624924;
CHRNA3	ETS1	UP	trrd;	rat, Rattus norvegicus	S9118;
CHRNE	ETS2	UP	Pubmed	rat, Rattus norvegicus	;9448324
CHRNE	GABPA	UP	pazar;	mouse, Mus musculus;	Pazar_Hnf4;
CHST12	RBPJ	DOWN	Pubmed	mus musculus;	;15979417
CHUK	ETS1	UP	Pubmed	human, Homo sapiens	;15469934
CIDEA	SREBF1	UP	Pubmed	;mus musculus	;20575761
CIITA	STAT1	UP	Pubmed	rAt, Rattus norvegicus	;10202014;9858567
CISH	STAT5A	UP	Pubmed	mouse, Mus musculus;	;11696536;
CISH	STAT5B	UP	Pubmed	mouse, Mus musculus;	;11696536;
CITED2	FOXO1	UP	Pubmed	human, Homo sapiens; mus musculus	;17254969;12351634;
CITED2	FOXO3	UP	Pubmed	human, Homo sapiens; mus musculus	;18158893;17353275
CKM	MEF2A	UP	pazar	mouse, Mus musculus;	pazar_rare;
CKS1B	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
CKS2	MYC	UP	Pubmed	human, Homo sapiens; rattus norvegicus	;11085504
CLCA1	GLI1	DOWN	Pubmed	mus musculus;	;19095649
CLCA2	GLI1	DOWN	Pubmed	mus musculus;	;19095649
CLCN1	RBPJ	DOWN	Pubmed	mus musculus;	;15979417
CLCN3	STAT3	UP	Pubmed	mouse, Mus musculus;	;16293640
CLCN7	MITF	UP	Pubmed	human, Homo sapiens	;1999537;19067971
CLCNKA	KLF15	DOWN	trrd	rat, Rattus norvegicus	S9339;
CLDN1	SMAD4	DOWN	Pubmed	human, Homo sapiens; rattus norvegicus	;17308096
CLDN2	CDX1	UP	Pubmed	;homo sapiens	11934881;
CLDN2	CDX2	UP	Pubmed	;homo sapiens	11934881;
CLDN2	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	; 14751232
CLDN2	GLI1	UP	Pubmed	mus musculus;	;19095649
CLDN2	HNF1A	UP	Pubmed	;homo sapiens	;11934881
CLDN2	LEF1	UP	Pubmed	hUman, Homo sapiens;	; 14751232
CLDN4	STAT2	UP	Pubmed	hUman, Homo sapiens;	;16689942;17651017;
CLDN5	FOXO1	UP	pazar;	mouse, Mus musculus;	pazar_pleiades_20100814;
CLEC2B	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
CLK1	GLI2	DOWN	Pubmed	human, Homo sapiens	;14691458
CLK2	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
CLU	SP1	UP	trrd;	rAt, Rattus norvegicus	S9865;
CNKSR1	GLI1	UP	Pubmed	mus musculus;	;19095649
CNN2	CTNNB1	UP	Pubmed	hUman, Homo sapiens;	;12782598
CNOT8	FOXO1	UP	Pubmed	human, Homo sapiens	;12351634;
CNR1	FOXO1	DOWN	Pubmed	human, Homo sapiens	;16690806;
CNTN2	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
COL10A1	NFKB1	DOWN	Pubmed	rat, Rattus norvegicus	;16409866
COL10A1	RUNX2	UP	Pubmed	;homo sapiens	;19116917
COL13A1	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;16100571;
COL13A1	FOXO3	DOWN	Pubmed	mouse, Mus musculus;	;16100571;
COL1A1	NFKB1	DOWN	Pubmed	human, Homo sapiens	;11277268;
COL1A1	RELA	DOWN	Pubmed	human, Homo sapiens	;11277268;
COL1A1	SMAD3	UP	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL1A1	SMAD7	DOWN	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL1A1	SP1	DOWN	trrd;	human, Homo sapiens;	S6152;
COL1A1	YY1	UP	Pubmed	;mus musculus	;11514536
COL1A2	EP300	UP	Pubmed	;mus musculus	;19828133
COL1A2	ID2	DOWN	Pubmed	;mus musculus	;16126788
COL1A2	ID3	DOWN	Pubmed	;mus musculus	;16126788
COL1A2	SCXA	UP	Pubmed	;mus musculus	;19828133
COL1A2	SMAD3	UP	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL1A2	SMAD7	DOWN	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL1A2	SOX9	UP	Pubmed	;mus musculus	;19828133
COL1A2	SP1	UP	trrd;	hUman, Homo sapiens;	S6144;
COL1A2	TCF3	UP	Pubmed	;mus musculus	;19828133
COL2A1	CEBPA	DOWN	Pubmed	mouse, Mus musculus;Rattus norvegicus	18438857;
COL2A1	EGR1	DOWN	Pubmed	human, Homo sapiens;	;12637574
COL2A1	NFKB1	UP	Pubmed	rat, Rattus norvegicus	;16409866
COL3A1	SMAD3	UP	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL3A1	SMAD7	DOWN	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL4A2	FOXO1	DOWN	Pubmed	mouse, Mus musculus;	;20338229;
COL5A2	GLI2	UP	Pubmed	human, Homo sapiens	;14691458
COL5A2	SMAD3	UP	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL5A2	SMAD7	DOWN	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL6A1	JUN	UP	trrd;	mouse, Mus musculus;	S9008;
COL6A1	SMAD3	UP	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL6A1	SP1	UP	trrd;	mouse, Mus musculus;	S9010;
COL6A2	SMAD3	UP	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL6A2	SMAD7	DOWN	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL6A3	SMAD3	UP	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL6A3	SMAD7	DOWN	Pubmed	human, Homo sapiens; Mus musculus	;11279127;
COL7A1	SMAD2	UP	Pubmed	human, Homo sapiens;	;9582342;
COL7A1	SMAD3	UP	Pubmed	human, Homo sapiens;	;9582342;
COL7A1	SMAD4	UP	Pubmed	human, Homo sapiens;	;9582342;
COX1	E2F1	UP	Pubmed	;homo sapiens	;10998368
COX1	E2F6	DOWN	Pubmed	;homo sapiens	;10998368
COX17	SP1	UP	trrd;	mouse, Mus musculus;	S9783;
COX4I1	ETS1	UP	trrd;	mouse, Mus musculus;	S7117;
COX4I1	GABPA	UP	pazar;	mouse, Mus musculus;	Pazar_Hnf4;
COX4I1	SP1	UP	trrd;	mouse, Mus musculus;	S7116;
CP	GLI1	UP	Pubmed	mouse, Mus musculus; homo sapiens	;11716497
CPA3	GATA1	UP	pazar	mouse, Mus musculus;	Pazar_rare;
